Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Joggen – Dauer (ms)
21:30:00.000+01:00,21:45:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
21:45:00.000+01:00,22:00:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
22:00:00.000+01:00,22:15:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
22:15:00.000+01:00,22:30:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
22:30:00.000+01:00,22:45:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
22:45:00.000+01:00,23:00:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
23:00:00.000+01:00,23:15:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
23:15:00.000+01:00,23:30:00.000+01:00,18.848959266996545,,,,,,,,,,,,,,,,,900000,,
23:30:00.000+01:00,23:45:00.000+01:00,18.848959266996545,,,,,51.24766540527344,6.817383289337158,51.24766540527344,6.817383289337158,,,,,,,,,900000,,
23:45:00.000+01:00,00:00:00.000+01:00,18.848959266996545,,,,,51.247642517089844,6.817320823669434,51.247642517089844,6.817320823669434,,,,,,,,,900000,,
