Beginn,Ende,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms)
19:15:00.000+02:00,19:30:00.000+02:00,18.848958696637833,,,,,,,,,,,,,,,,,900000,,
19:30:00.000+02:00,19:45:00.000+02:00,18.848958696637833,,,,,,,,,,,,,,,,,900000,,
19:45:00.000+02:00,20:00:00.000+02:00,18.848958696637833,,,,,,,,,,,,,,,,,900000,,
20:00:00.000+02:00,20:15:00.000+02:00,18.848958696637833,,,,,,,,,,,,,,,,,900000,,
20:15:00.000+02:00,20:30:00.000+02:00,18.848958696637833,,,,,,,,,,,,,,,,,900000,,
20:30:00.000+02:00,20:45:00.000+02:00,22.975694394284815,17.0,,,,,,,,0.28333330154418945,0.28333330154418945,0.28333330154418945,22,,,,,840000,60000,
20:45:00.000+02:00,21:00:00.000+02:00,18.848956479864604,,,,,,,,,,,,,,,,,900000,,
21:00:00.000+02:00,21:15:00.000+02:00,18.848956479864604,,,,,,,,,,,,22,,,,,900000,,
21:15:00.000+02:00,21:30:00.000+02:00,18.848956479864604,,,,,,,,,,,,,,,,,900000,,
21:30:00.000+02:00,21:45:00.000+02:00,22.975693678466154,15.0,,,,,,,,0.2499999850988388,0.2499999850988388,0.2499999850988388,19,,,,,840000,60000,
21:45:00.000+02:00,22:00:00.000+02:00,18.84895832260042,,,,,51.247371673583984,6.817088603973389,51.24762725830078,6.817392349243164,,,,,,,,,900000,,
22:00:00.000+02:00,22:15:00.000+02:00,18.84895832260042,,,,,51.247535705566406,6.817139625549316,51.247623443603516,6.8173723220825195,1.072818765898466,1.3050553798675537,0.8360949754714966,,,,,,900000,,
22:15:00.000+02:00,22:30:00.000+02:00,18.84895832260042,,,,,51.24765396118164,6.817374229431152,51.24776840209961,6.817554473876953,0.6665264666080475,0.6668579578399658,0.6661949753761292,,,,,,900000,,
22:30:00.000+02:00,22:45:00.000+02:00,18.84895832260042,,,,,51.2474479675293,6.817176342010498,51.24782943725586,6.818655490875244,5.90632378690628,8.78570556640625,4.277778625488281,,,,,,900000,,
22:45:00.000+02:00,23:00:00.000+02:00,18.84895832260042,,,,,51.247642517089844,6.817365646362305,51.247642517089844,6.817365646362305,,,,,,,,,900000,,
23:00:00.000+02:00,23:15:00.000+02:00,18.84895832260042,,,,,,,,,,,,,,,,,900000,,
23:15:00.000+02:00,23:30:00.000+02:00,18.84895832260042,,,,,,,,,,,,,,,,,900000,,
23:30:00.000+02:00,23:45:00.000+02:00,18.84895832260042,,,,,,,,,,,,,,,,,900000,,
23:45:00.000+02:00,00:00:00.000+02:00,18.84895832260042,,,,,,,,,,,,,,,,,900000,,
